"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs1771582-<b>T</b>,"7 x 10-11",,0.442603,'-,"0.0128979 unit decrease",[0.009-0.0168],"FCGR3B, FCGR2B","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:161644700
rs7583067-<b>C</b>,"7 x 10-11",,0.759886,'-,"0.0145605 unit decrease",[0.01-0.019],AFF3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:100180388
rs2781668-<b>C</b>,"8 x 10-11",,0.834113,'-,"0.016676 unit increase",[0.012-0.022],"ARG1, MED23","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:131576138
rs112192770-<b>C</b>,"3 x 10-10",,0.946968,'-,"0.0286032 unit decrease",[0.02-0.038],C11orf49,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:46970257
rs200540247-<b>A</b>,"3 x 10-10",,0.288922,'-,"0.0133506 unit decrease",[0.0092-0.0175],FSD2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,15:82797037
rs248653-<b>T</b>,"3 x 10-10",,0.963341,'-,"0.0319312 unit increase",[0.022-0.042],CDC42SE2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:131320335
rs1240820-<b>G</b>,"4 x 10-10",,0.706837,'-,"0.0131815 unit decrease",[0.0091-0.0173],ATXN1-AS1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:16824906
rs56105022-<b>G</b>,"4 x 10-10",,0.96422,'-,"0.0338754 unit increase",[0.023-0.044],CNIH4,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:224357044
rs1086056-<b>T</b>,"4 x 10-10",,0.155371,'-,"0.0165187 unit increase",[0.011-0.022],GPR149,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,3:154370622
rs4078216-<b>G</b>,"4 x 10-10",,0.759913,'-,"0.0139898 unit decrease",[0.0096-0.0184],DHX37,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,12:124950170
rs55801554-<b>C</b>,"4 x 10-10",,0.752647,'-,"0.0138395 unit decrease",[0.0095-0.0182],RNF145,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:159195524
rs9877304-<b>G</b>,"4 x 10-10",,0.736691,'-,"0.0135927 unit increase",[0.0093-0.0179],"UBXN7, RNU6-910P","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,3:196346201
rs11043221-<b>A</b>,"4 x 10-10",,0.701528,'-,"0.0131113 unit decrease",[0.009-0.0172],HPD,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,12:121863138
rs17566828-<b>G</b>,"4 x 10-10",,0.959171,'-,"0.0300435 unit decrease",[0.021-0.039],"ALG9, PPP2R1B","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:111773677
rs2417125-<b>A</b>,"4 x 10-10",,0.715983,'-,"0.0132127 unit increase",[0.0091-0.0174],TBC1D13,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,9:128799953
rs11883967-<b>A</b>,"4 x 10-10",,0.338493,'-,"0.0125786 unit decrease",[0.0086-0.0165],MEIS1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:66446730
rs4947121-<b>T</b>,"5 x 10-10",,0.226407,'-,"0.0141734 unit increase",[0.0097-0.0186],TRAF3IP2-AS1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:111513751
rs738409-<b>C</b>,"5 x 10-10",,0.783224,'-,"0.0143977 unit increase",[0.0099-0.0189],PNPLA3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,22:43928847
rs10896581-<b>G</b>,"5 x 10-10",,0.878793,'-,"0.0181347 unit increase",[0.012-0.024],"LRRC55, APLNR","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:57196750
rs183906992-<b>T</b>,"5 x 10-10",,0.957251,'-,"0.029467 unit decrease",[0.02-0.039],PON3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,7:95382636
rs2965169-<b>A</b>,"6 x 10-10",,0.611261,'-,"0.0121294 unit decrease",[0.0083-0.016],BCL3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,19:44747899
rs11961755-<b>G</b>,"6 x 10-10",,0.751952,'-,"0.0137125 unit increase",[0.0094-0.018],GJA1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:121445140
rs62565259-<b>C</b>,"6 x 10-10",,0.828998,'-,"0.015788 unit decrease",[0.011-0.021],STX17-AS1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,9:99400288
rs2098918-<b>C</b>,"6 x 10-10",,0.544869,'-,"0.0118408 unit decrease",[0.0081-0.0156],MIR4801,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,4:37149911
rs77234291-<b>A</b>,"7 x 10-10",,0.983687,'-,"0.0459533 unit decrease",[0.031-0.061],"NAE1, PDP2","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,16:66877995
rs1252425-<b>C</b>,"7 x 10-10",,0.344146,'-,"0.0124305 unit decrease",[0.0085-0.0164],GGTA2P,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,12:67258192
rs77916918-<b>G</b>,"7 x 10-10",,0.965751,'-,"0.0321839 unit decrease",[0.022-0.042],LINC02735,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:56860610
rs7488780-<b>G</b>,"9 x 10-10",,0.795737,'-,"0.0145424 unit decrease",[0.0099-0.0192],PDE3A,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,12:20426458
rs73457437-<b>G</b>,"8 x 10-11",,0.967901,'-,"0.0350687 unit increase",[0.024-0.046],TYRL,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:49478923
rs11878235-<b>G</b>,"8 x 10-11",,0.406681,'-,"0.0127368 unit decrease",[0.0089-0.0166],MAP2K7,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,19:7911813
rs73082723-<b>C</b>,"9 x 10-11",,0.780223,'-,"0.0155127 unit decrease",[0.011-0.02],"IQCF5-AS1, IQCF1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,3:51892801
rs150300171-<b>A</b>,"9 x 10-11",,0.953797,'-,"0.0294484 unit increase",[0.021-0.038],GTF2I,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,7:74688561
rs12516070-<b>T</b>,"1 x 10-10",,0.483786,'-,"0.0124977 unit decrease",[0.0087-0.0163],PDE4D,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:60095809
rs32578-<b>G</b>,"1 x 10-10",,0.690984,'-,"0.0133241 unit decrease",[0.0093-0.0174],PPARGC1B,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:149832305
rs62428831-<b>T</b>,"1 x 10-10",,0.858454,'-,"0.0177819 unit decrease",[0.012-0.023],HIVEP2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:142926024
rs72801474-<b>G</b>,"1 x 10-10",,0.908103,'-,"0.0212955 unit decrease",[0.015-0.028],"HSPA4, FSTL4","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:133108436
rs12686780-<b>C</b>,"1 x 10-10",,0.825,'-,"0.0161543 unit increase",[0.011-0.021],"IPPK, CENPP","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,9:92620015
rs4875043-<b>A</b>,"1 x 10-10",,0.783179,'-,"0.0149835 unit increase",[0.01-0.02],"RHPN1, MAFA-AS1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,8:143414602
rs10950390-<b>C</b>,"1 x 10-10",,0.791891,'-,"0.0151656 unit increase",[0.011-0.02],TMEM106B,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,7:12185082
rs61884030-<b>T</b>,"1 x 10-10",,0.860509,'-,"0.0177467 unit decrease",[0.012-0.023],"COPB1, RRAS2","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:14422997
rs2298214-<b>C</b>,"1 x 10-10",,0.422628,'-,"0.0124547 unit increase",[0.0086-0.0163],HES4,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:999842
rs15052-<b>T</b>,"2 x 10-10",,0.824152,'-,"0.016053 unit decrease",[0.011-0.021],"TGFB1, HNRNPUL1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,19:41307470
rs68006638-<b>G</b>,"2 x 10-10",,0.903995,'-,"0.0208037 unit increase",[0.014-0.027],"H2AC1, SCGN","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:25710343
rs9884482-<b>T</b>,"2 x 10-10",,0.628049,'-,"0.0125876 unit increase",[0.0087-0.0165],TET2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,4:105160479
rs13323506-<b>A</b>,"2 x 10-10",,0.311266,'-,"0.0131152 unit decrease",[0.0091-0.0171],"CRIP1P1, TMEM40","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,3:12695732
rs183078-<b>A</b>,"2 x 10-10",,0.597444,'-,"0.0123941 unit decrease",[0.0086-0.0162],FNDC3A,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,13:48939216
rs4654395-<b>C</b>,"2 x 10-10",,0.475033,'-,"0.0121325 unit increase",[0.0084-0.0159],PTPRU,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:29240900
rs78595810-<b>G</b>,"2 x 10-10",,0.986712,'-,"0.0527925 unit increase",[0.036-0.069],MYL3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,3:46868322
rs17041868-<b>T</b>,"2 x 10-10",,0.935985,'-,"0.0245869 unit increase",[0.017-0.032],"MIR4435-2HG, BCL2L11","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:111137143
rs61926301-<b>G</b>,"2 x 10-10",,0.596663,'-,"0.0122696 unit decrease",[0.0085-0.0161],ATF1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,12:50764080
rs185073199-<b>T</b>,"3 x 10-10",,0.989733,'-,"0.0637345 unit decrease",[0.044-0.083],ITGA10,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:145898360
rs7036107-<b>A</b>,"3 x 10-10",,0.489022,'-,"0.0122734 unit increase",[0.0085-0.0161],"GADD45G, SEMA4D","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,9:89562982
rs72654647-<b>G</b>,"3 x 10-10",,0.752205,'-,"0.0138902 unit increase",[0.0096-0.0182],"SRRM1, CLIC4","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:24695823
rs72805692-<b>A</b>,"9 x 10-10",,0.884869,'-,"0.0183089 unit increase",[0.012-0.024],HK1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,10:69339353
rs2551980-<b>A</b>,"1 x 10-9",,0.183209,'-,"0.0150704 unit increase",[0.01-0.02],"RPS29P9, METTL21A","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:207653593
rs4976033-<b>A</b>,"1 x 10-9",,0.598176,'-,"0.012025 unit increase",[0.0082-0.0159],"PIK3R1, VWA8P1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:68418419
rs61919816-<b>C</b>,"1 x 10-9",,0.975611,'-,"0.0437704 unit increase",[0.03-0.058],'-,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,"Mapping not available"
rs6021914-<b>T</b>,"1 x 10-9",,0.63443,'-,"0.0120633 unit decrease",[0.0082-0.016],LINC01524,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,20:52414630
rs73179655-<b>G</b>,"1 x 10-9",,0.968588,'-,"0.0334657 unit decrease",[0.023-0.044],NUFIP1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,13:44918003
rs113261881-<b>G</b>,"1 x 10-9",,0.93705,'-,"0.0240304 unit increase",[0.016-0.032],DCST2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:155025096
rs28510484-<b>G</b>,"1 x 10-9",,0.82954,'-,"0.0154202 unit increase",[0.01-0.02],KLF13,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,15:31345366
rs74328314-<b>A</b>,"1 x 10-9",,0.926466,'-,"0.0225872 unit decrease",[0.015-0.03],NFIA,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:61205087
rs12998038-<b>C</b>,"1 x 10-9",,0.741297,'-,"0.0132202 unit decrease",[0.0089-0.0175],COX7A2L,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:42375247
rs57074291-<b>C</b>,"1 x 10-9",,0.739309,'-,"0.0131032 unit decrease",[0.0089-0.0173],'-,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:226364628
rs10916239-<b>T</b>,"2 x 10-9",,0.619944,'-,"0.0118827 unit decrease",[0.008-0.0157],"PRSS38, WNT9A","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:227901132
rs1970811-<b>T</b>,"2 x 10-9",,0.542259,'-,"0.0115949 unit increase",[0.0078-0.0154],CTBP2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,10:125007927
rs75032664-<b>C</b>,"2 x 10-9",,0.987091,'-,"0.0549281 unit increase",[0.037-0.073],INTS10,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,8:19834914
rs7725218-<b>G</b>,"2 x 10-9",,0.661578,'-,"0.012181 unit increase",[0.0082-0.0161],TERT,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:1282299
rs6790951-<b>C</b>,"2 x 10-9",,0.520317,'-,"0.0115111 unit increase",[0.0078-0.0153],IFT80,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,3:160307499
rs8126001-<b>C</b>,"2 x 10-9",,0.510495,'-,"0.0115713 unit decrease",[0.0078-0.0153],OPRL1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,20:64080106
rs13041173-<b>A</b>,"2 x 10-9",,0.658499,'-,"0.0120958 unit increase",[0.0081-0.016],"TPM3P2, PIGPP3","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,20:33955008
rs3794752-<b>T</b>,"2 x 10-9",,0.719362,'-,"0.0128343 unit decrease",[0.0086-0.017],HLF,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,17:55305468
rs1818917-<b>C</b>,"2 x 10-9",,0.487558,'-,"0.0114094 unit decrease",[0.0077-0.0152],"NDN, RNU6-741P","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,15:23696531
rs11878604-<b>T</b>,"3 x 10-9",,0.92873,'-,"0.0221996 unit decrease",[0.015-0.029],"CYP2F2P, CYP2A6","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,19:40827379
rs1431659-<b>A</b>,"3 x 10-9",,0.271535,'-,"0.0127629 unit decrease",[0.0086-0.017],KCNB2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,8:72526835
rs72755439-<b>C</b>,"3 x 10-9",,0.711449,'-,"0.0127875 unit decrease",[0.0086-0.017],"NANS, RNU6-918P","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,9:98046853
rs13111599-<b>A</b>,"3 x 10-9",,0.262806,'-,"0.0128995 unit decrease",[0.0087-0.0171],LIN54,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,4:82995884
rs2364723-<b>G</b>,"3 x 10-9",,0.680846,'-,"0.0121743 unit decrease",[0.0082-0.0162],NFE2L2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:177261818
rs7622114-<b>C</b>,"3 x 10-9",,0.418986,'-,"0.0115403 unit decrease",[0.0077-0.0153],TRANK1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,3:36919169
rs7658082-<b>T</b>,"3 x 10-9",,0.450788,'-,"0.0113473 unit increase",[0.0076-0.0151],CCSER1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,4:90324355
rs9646934-<b>C</b>,"3 x 10-9",,0.321581,'-,"0.0121568 unit decrease",[0.0081-0.0162],"ACOXL, MIR4435-2HG","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:111064425
rs254559-<b>C</b>,"3 x 10-9",,0.595173,'-,"0.0114965 unit increase",[0.0077-0.0153],C5orf66,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:135109292
rs12921195-<b>C</b>,"4 x 10-9",,0.860497,'-,"0.0166503 unit increase",[0.011-0.022],MGRN1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,16:4627603
rs1412234-<b>T</b>,"4 x 10-9",,0.672866,'-,"0.0120266 unit increase",[0.008-0.016],LINGO2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,9:28410685
rs34717889-<b>T</b>,"4 x 10-9",,0.802871,'-,"0.0144811 unit decrease",[0.0097-0.0193],TSC22D2,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,3:150428612
rs61596977-<b>C</b>,"4 x 10-9",,0.859636,'-,"0.0161666 unit increase",[0.011-0.022],NDUFAF6,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,8:94984937
rs1083470-<b>G</b>,"4 x 10-9",,0.384281,'-,"0.0115491 unit decrease",[0.0077-0.0154],'-,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:147113546
rs11171710-<b>G</b>,"4 x 10-9",,0.551858,'-,"0.0113701 unit increase",[0.0076-0.0152],RAB5B,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,12:55974294
rs73151974-<b>C</b>,"4 x 10-9",,0.855977,'-,"0.0161097 unit increase",[0.011-0.021],"CALD1, AGBL3","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,7:134984772
rs76530346-<b>G</b>,"4 x 10-9",,0.905052,'-,"0.0192931 unit increase",[0.013-0.026],AUH,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,9:91248016
rs58298943-<b>C</b>,"4 x 10-9",,0.915682,'-,"0.0201854 unit decrease",[0.013-0.027],GPR182,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,12:56997508
rs9526023-<b>G</b>,"4 x 10-9",,0.969048,'-,"0.0325768 unit decrease",[0.022-0.043],NUFIP1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,13:44950491
rs17124112-<b>C</b>,"4 x 10-9",,0.920067,'-,"0.0207538 unit increase",[0.014-0.028],"LINC01146, KCNK10","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,14:88139165
rs115912456-<b>A</b>,"4 x 10-9",,0.958736,'-,"0.0281485 unit decrease",[0.019-0.038],VCAN,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:83519339
rs7251640-<b>T</b>,"4 x 10-9",,0.805982,'-,"0.014263 unit decrease",[0.0095-0.019],ELL,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,19:18504125
rs10438354-<b>C</b>,"5 x 10-9",,0.64975,'-,"0.0119313 unit decrease",[0.0079-0.0159],"SMAD3, HMGN2P47","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,15:67043869
rs3825669-<b>A</b>,"5 x 10-9",,0.195052,'-,"0.0141866 unit decrease",[0.0094-0.0189],FOXN3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,14:89337932
rs16975758-<b>G</b>,"5 x 10-9",,0.623171,'-,"0.0115692 unit decrease",[0.0077-0.0154],'-,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,17:70423189
rs6940493-<b>A</b>,"5 x 10-9",,0.314517,'-,"0.0120893 unit decrease",[0.008-0.0161],"MBOAT1, E2F3","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:20304332
